Sold Price (AUD),Bedrooms,Bathrooms,Car Spaces,Land Size (m2),Travel Time to CBD (min),Has Garden,Sale Year,Sale Month,Suburb_Burwood,Suburb_Hawthorn,Suburb_Ringwood,Property Type_House,Property Type_Unit
1578000,1.3536627462646669,0.9423064972256977,0.572218164967335,2.3633411469803325,0.8628443646229731,1,0.5629784083986551,-0.2172620473133703,0,0,1,1,0
1105000,2.248153547761143,-0.8027055346737424,2.8920215364565305,2.384661960840142,0.7000435411092046,1,0.5629784083986551,-0.2172620473133703,0,0,1,1,0
910000,0.4591719447681909,-0.8027055346737424,2.8920215364565305,1.3064379456440696,1.0256451881367417,1,0.5629784083986551,-0.2172620473133703,0,0,1,1,0
1008000,1.3536627462646669,0.9423064972256977,-0.5876835207772628,0.7673259380460334,1.0256451881367417,1,0.5629784083986551,-0.2172620473133703,0,0,1,1,0
860000,0.4591719447681909,0.9423064972256977,0.572218164967335,0.29217637202742536,0.8628443646229731,1,0.5629784083986551,-0.2172620473133703,0,0,1,1,0
900000,0.4591719447681909,0.9423064972256977,0.572218164967335,1.1297797736627921,0.7000435411092046,1,0.5629784083986551,-0.579365459502321,0,0,1,1,0
1054500,2.248153547761143,0.9423064972256977,1.7321198507119329,1.3490795733636882,1.18844601165051,1,0.5629784083986551,-0.579365459502321,0,0,1,1,0
930000,0.4591719447681909,-0.8027055346737424,0.572218164967335,0.9348466183731068,0.7000435411092046,1,0.5629784083986551,-0.579365459502321,0,0,1,1,0
1080000,1.3536627462646669,0.9423064972256977,0.572218164967335,1.6536626285038218,0.8628443646229731,1,0.5629784083986551,-0.579365459502321,0,0,1,1,0
980000,0.4591719447681909,-0.8027055346737424,0.572218164967335,1.8059541560738885,0.7000435411092046,1,0.5629784083986551,-0.579365459502321,0,0,1,1,0
905000,0.4591719447681909,0.9423064972256977,0.572218164967335,0.22516809989659597,0.7000435411092046,0,0.5629784083986551,-0.579365459502321,0,0,1,1,0
1080000,0.4591719447681909,0.9423064972256977,-0.5876835207772628,0.4779720356629067,0.7000435411092046,0,0.5629784083986551,-0.579365459502321,0,0,1,1,0
1220000,0.4591719447681909,0.9423064972256977,-0.5876835207772628,2.1318580250738313,0.8628443646229731,0,0.5629784083986551,-0.579365459502321,0,0,1,1,0
840000,0.4591719447681909,-0.8027055346737424,0.572218164967335,1.4008586927375108,1.0256451881367417,0,0.5629784083986551,-0.9414688716912717,0,0,1,1,0
1235000,1.3536627462646669,0.9423064972256977,0.572218164967335,0.7003176659152041,0.8628443646229731,0,0.5629784083986551,-0.579365459502321,0,0,1,1,0
625000,-0.4353188567282851,-0.8027055346737424,-0.5876835207772628,-0.6794435738696002,0.8628443646229731,0,0.5629784083986551,0.14484136487558041,0,0,1,0,1
377500,-0.4353188567282851,-0.8027055346737424,-1.7475852065218607,-0.6794435738696002,0.7000435411092046,0,0.5629784083986551,0.14484136487558041,0,0,1,0,1
447100,-1.3298096582247612,-0.8027055346737424,-0.5876835207772628,-0.6794435738696002,0.3744418940816676,0,0.5629784083986551,0.14484136487558041,0,0,1,0,1
680500,-0.4353188567282851,-0.8027055346737424,-0.5876835207772628,-0.6794435738696002,0.7000435411092046,0,0.5629784083986551,0.14484136487558041,0,0,1,0,1
615000,-0.4353188567282851,0.9423064972256977,-0.5876835207772628,-0.6794435738696002,0.3744418940816676,0,0.5629784083986551,-0.2172620473133703,0,0,1,0,1
819000,1.3536627462646669,0.9423064972256977,0.572218164967335,-0.6794435738696002,0.5372427175954361,1,0.5629784083986551,-0.2172620473133703,0,0,1,0,1
965000,0.4591719447681909,0.9423064972256977,0.572218164967335,-0.6794435738696002,0.7000435411092046,0,0.5629784083986551,-0.2172620473133703,0,0,1,0,1
763000,0.4591719447681909,-0.8027055346737424,-0.5876835207772628,-0.6794435738696002,0.8628443646229731,0,0.5629784083986551,-0.2172620473133703,0,0,1,0,1
440000,-0.4353188567282851,-0.8027055346737424,-0.5876835207772628,-0.6794435738696002,0.5372427175954361,0,0.5629784083986551,-0.2172620473133703,0,0,1,0,1
